path,year,wordcount,importance,pride,n_tags,tags
2016-08-12-magic.md,2016,67,4,,1,philosophy
2016-08-22-vegan-interview.markdown,2016,2217,5,,1,ethics
2016-09-01-nonvicious-responses-unemployment.markdown,2016,2258,7,,3,ai;transhumanism;economics
2016-09-01-the-worst-prisoners-dilemma.markdown,2016,807,6,,3,stats;social-science;game-theory
2016-11-21-eagox.md,2016,1662,8,,3,effective-altruism;philosophy;becoming
2017-01-07-estimating-controversy.markdown,2017,1759,7,3,2,cause-prioritisation;quantification
2017-01-11-anthropology-worth.markdown,2017,2467,3,3,3,philosophy;scepticism;social-science
2017-01-11-ludwig-and-the-machine.markdown,2017,1446,6,7,3,philosophy of science;language;machine learning
2017-01-11-machine-learning-writing.markdown,2017,0,5,,1,a
2017-01-11-visualising-random-forests-rt.markdown,2017,0,6,,1,machine learning
2017-01-18-kaggle-winners.markdown,2017,95,5,,3,kaggle;machine-learning;science
2017-02-01-ds-faq.markdown,2017,8058,4,4,2,machine-learning;data-science
2017-02-01-max-wage.markdown,2017,4068,8,5,3,effective-altruism;economics;ethics
2017-02-01-wage-theft.markdown,2017,59,,4,0,
2017-02-02-me-throughout-the-ages.markdown,2017,138,,,1,becoming
2017-02-25-pi-tau.markdown,2017,833,3,5,3,maths;reason;politics
2017-03-01-entree-nous.markdown,2017,380,,,5,philosophy;epistemology;naturalism;argument;scepticism
2017-03-01-history-of-ml-application.markdown,2017,66,5,,1,code
2017-03-01-programming-paradigms.markdown,2017,121,3,,1,code
2017-03-28-genetic-privacy.markdown,2017,1139,7,,1,scary-futurism
2017-04-01-hansonia.markdown,2017,71,8,8,2,philosophy of science;scepticism
2017-04-30-aid-abolitionism.markdown,2012,14262,6,2,0,
2017-05-01-ada-lovelace.markdown,2017,104,3,,0,
2017-05-01-work-space.markdown,2017,14,5,,0,
2017-05-18-regression-and-you.markdown,2017,37,4,,2,stats;machine learning
2017-05-31-corpus-gavi.markdown,2017,174,4,,1,nlp
2017-05-31-einstein.markdown,2018,1590,6,,3,bio;science;greats
2017-05-31-tories-disabled-deaths.markdown,2017,2259,5,,2,stats;social-science
2017-05-31-tsars.markdown,2017,12,6,,0,
2017-06-01-hitler-uranium.markdown,2017,949,4,,3,bio;history;physics
2017-06-01-philpapers.markdown,2017,1926,5,,0,
2017-07-01-death-index-2016.markdown,2017,0,8,,2,computing;history
2017-07-20-first-computers.markdown,2017,2131,4,8,4,computers;history;conceptual-analysis;lists
2017-08-01-breaking-changes.markdown,2017,0,6,,0,
2017-08-01-pomophobia.markdown,2017,2796,3,,0,
2017-08-01-you-do-you.markdown,2017,287,5,,2,self-help;rationality
2017-09-01-culture-footprints.markdown,2017,11,5,,0,
2017-09-01-dev-year.markdown,2017,9,5,,1,programming
2017-09-01-greek-industry.markdown,2017,72,6,,3,history;modernity;homebrew science
2017-09-01-partisan-verbs.markdown,2017,4,4,,0,
2017-09-01-qualitative-languages.markdown,2017,27,4,,0,
2017-09-01-turing-bio.markdown,2017,4957,6,,3,bio;computers;greats
2017-09-01-turing-suicide.markdown,2017,1443,3,6,0,
2017-1-31-yitang-zhang.markdown,,793,6,,5,the-two-cultures;maths;politics;history;language
2017-10-01-linguistic-accommodation.markdown,2017,15009,4,5,2,stats;social-science
2017-10-01-social-benefit-of-modelling.markdown,2017,268,7,,0,
2017-10-21-table-conceptual-conversion.markdown,2015,472,5,,6,philosophy;computers;rosetta-stone;maths;lists;encompassing
2017-10-31-tories-care-deaths.markdown,2017,58,6,,3,stats;social science;data columbo
2017-12-01-false-ted.markdown,2017,12,6,,0,
2017-12-01-great-algos-1-monte-carlo.markdown,2017,438,7,,0,
2017-12-01-great-algos-10-fast-multipole.markdown,2017,10,7,,0,
2017-12-01-great-algos-11-astar.markdown,2020,0,,,0,
2017-12-01-great-algos-2-simplex.markdown,2017,6,6,,0,
2017-12-01-great-algos-3-krylov.markdown,2017,26,6,,0,
2017-12-01-great-algos-4-decomp.markdown,2017,9,7,,0,
2017-12-01-great-algos-5-fortran.markdown,2017,4,7,,0,
2017-12-01-great-algos-6-qr.markdown,2017,9,8,,0,
2017-12-01-great-algos-7-quicksort.markdown,2017,38,7,,0,
2017-12-01-great-algos-8-FFT.markdown,2017,22,6,,0,
2017-12-01-great-algos-9-int-relation.markdown,2017,4,6,,0,
